year,status,prc
2005,0.broken,0.2904536222071767
2005,1.timeout,0.07109004739336493
2005,3.redirected,0.06364251861882193
2005,2.good,0.5748138117806364
2006,0.broken,0.33652173913043476
2006,1.timeout,0.06521739130434782
2006,3.redirected,0.06347826086956522
2006,2.good,0.5347826086956523
2007,0.broken,0.36065573770491804
2007,1.timeout,0.06167056986729118
2007,3.redirected,0.060109289617486336
2007,2.good,0.5175644028103046
2008,0.broken,0.3378212974296206
2008,1.timeout,0.04528763769889841
2008,3.redirected,0.07282741738066095
2008,2.good,0.54406364749082
2009,0.broken,0.27318548387096775
2009,1.timeout,0.051915322580645164
2009,3.redirected,0.08417338709677419
2009,2.good,0.590725806451613
2010,0.broken,0.2597165066300869
2010,1.timeout,0.038866026520347506
2010,3.redirected,0.08184727937814358
2010,2.good,0.619570187471422
2011,0.broken,0.23493670886075949
2011,1.timeout,0.03291139240506329
2011,3.redirected,0.07544303797468355
2011,2.good,0.6567088607594938
2012,0.broken,0.2088546679499519
2012,1.timeout,0.02598652550529355
2012,3.redirected,0.08517805582290663
2012,2.good,0.6799807507218479
2013,0.broken,0.1424287856071964
2013,1.timeout,0.025487256371814093
2013,3.redirected,0.09695152423788106
2013,2.good,0.7351324337831084
2014,0.broken,0.12321041214750543
2014,1.timeout,0.010412147505422993
2014,3.redirected,0.08156182212581345
2014,2.good,0.7848156182212582
2015,0.broken,0.12789175032736796
2015,1.timeout,0.013967699694456569
2015,3.redirected,0.07376691401134876
2015,2.good,0.7843736359668267
2016,0.broken,0.11969964664310954
2016,1.timeout,0.015901060070671377
2016,3.redirected,0.09761484098939929
2016,2.good,0.7667844522968198
2017,0.broken,0.11647879763821793
2017,1.timeout,0.01288244766505636
2017,3.redirected,0.07568438003220612
2017,2.good,0.7949543746645197
