status,AIT,example,time
2,Pass,1,5
2,Pass,1,5
2,Pass,1,5
2,Pass,1,5
2,Pass,1,5
2,Pass,1,5
2,Pass,1,5
2,Pass,1,5
2,Pass,1,5
2,Pass,1,5
2,Pass,1,5
2,Pass,1,5
2,Pass,1,5
2,Pass,1,5
2,Pass,1,5
2,Pass,1,5
2,Pass,1,5
2,Pass,1,5
2,Pass,1,15
2,Pass,1,15
2,Pass,1,15
2,Pass,1,15
2,Pass,1,15
2,Pass,1,15
2,Pass,0,5
2,Pass,0,5
2,Pass,0,5
2,Pass,0,5
2,Pass,0,5
2,Pass,0,5
2,Pass,0,5
2,Pass,0,5
2,Pass,0,5
2,Pass,0,5
2,Pass,0,5
2,Pass,0,15
2,Failed,1,5
2,Failed,1,5
2,Failed,1,5
2,Failed,1,5
2,Failed,1,5
2,Failed,1,15
2,Failed,1,15
2,Failed,1,15
2,Failed,1,15
2,Failed,1,15
2,Failed,0,5
2,Failed,0,5
2,Failed,0,15
2,Failed,0,15
1,Pass,1,60
1,Pass,1,120
1,Pass,0,30
1,Pass,0,120
1,Failed,1,30
1,Failed,1,30
1,Failed,1,30
1,Failed,1,30
1,Failed,1,30
1,Failed,1,60
1,Failed,1,60
1,Failed,1,60
1,Failed,1,120
1,Failed,1,120
1,Failed,1,120
1,Failed,1,120
1,Failed,1,120
1,Failed,1,120
1,Failed,0,30
1,Failed,0,30
1,Failed,0,120
1,Failed,0,120
